year_label,article_count,article_pct
1950,1,0.4
1982,1,0.4
2006,3,1.3
2007,2,0.9
2008,7,3.1
2009,1,0.4
2010,3,1.3
2011,5,2.2
2012,5,2.2
2013,11,4.8
2014,8,3.5
2015,9,4.0
2016,8,3.5
2017,11,4.8
2018,12,5.3
2019,17,7.5
2020,9,4.0
2021,12,5.3
2022,12,5.3
2023,38,16.7
2024,41,18.1
2025,6,2.6
2026,4,1.8
n.d.,1,0.4
