feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
game_format,tabletop_game,service_conditions_addressed,inclusive_design_or_accessibility,51,22.5
game_format,digital_game,service_audience,general_public,51,22.5
conceptual_theme,educational_psychology,source_type,peer_reviewed_journal_article,51,22.5
conceptual_theme,game_literacy,intended_outcome,learning_and_literacy,51,22.5
conceptual_theme,games_as_cultural_media,game_format,tabletop_roleplaying_game,51,22.5
conceptual_theme,information_behavior_and_practice,service_area,community_and_inclusion,51,22.5
service_area,collections_and_access,service_conditions_addressed,skilled_facilitation_required,50,22.0
conceptual_theme,educational_psychology,service_conditions_addressed,skilled_facilitation_required,50,22.0
evidence_confidence,demonstrated_outcome,intended_outcome,learning_and_literacy,50,22.0
service_area,programming_and_facilitation,service_conditions_addressed,skilled_facilitation_required,49,21.6
evidence_confidence,practitioner_knowledge,service_conditions_addressed,skilled_facilitation_required,49,21.6
conceptual_theme,service_ecology,service_conditions_addressed,inclusive_design_or_accessibility,49,21.6
service_conditions_addressed,access_infrastructure_required,service_conditions_addressed,evaluation_or_reflection,49,21.6
evidence_confidence,practitioner_knowledge,evidence_type,practitioner_reflection,49,21.6
library_context,academic_library,service_audience,students,48,21.1
conceptual_theme,educational_psychology,intended_outcome,learning_and_literacy,48,21.1
conceptual_theme,information_behavior_and_practice,service_audience,general_public,48,21.1
library_context,academic_library,service_conditions_addressed,access_infrastructure_required,48,21.1
intended_outcome,learning_and_literacy,service_conditions_addressed,inclusive_design_or_accessibility,48,21.1
evidence_confidence,demonstrated_outcome,service_conditions_addressed,inclusive_design_or_accessibility,48,21.1
game_format,digital_game,service_audience,students,48,21.1
conceptual_theme,information_behavior_and_practice,service_conditions_addressed,evaluation_or_reflection,47,20.7
library_context,public_library,service_conditions_addressed,skilled_facilitation_required,47,20.7
conceptual_theme,games_as_cultural_media,service_area,collections_and_access,47,20.7
conceptual_theme,information_behavior_and_practice,evidence_confidence,demonstrated_outcome,47,20.7
evidence_type,empirical_study,game_format,digital_game,46,20.3
service_conditions_addressed,evaluation_or_reflection,service_conditions_addressed,inclusive_design_or_accessibility,46,20.3
conceptual_theme,games_as_cultural_media,conceptual_theme,service_ecology,46,20.3
conceptual_theme,games_as_cultural_media,intended_outcome,engagement_and_participation,45,19.8
library_context,non_library_context,source_type,peer_reviewed_journal_article,45,19.8
evidence_type,empirical_study,intended_outcome,learning_and_literacy,45,19.8
game_format,digital_game,game_format,tabletop_game,45,19.8
evidence_type,practitioner_reflection,service_area,learning_and_literacy,44,19.4
conceptual_theme,information_behavior_and_practice,service_audience,students,44,19.4
service_audience,students,service_conditions_addressed,inclusive_design_or_accessibility,44,19.4
game_format,digital_game,service_conditions_addressed,evaluation_or_reflection,44,19.4
conceptual_theme,game_literacy,service_conditions_addressed,access_infrastructure_required,44,19.4
service_area,community_and_inclusion,source_type,peer_reviewed_journal_article,44,19.4
library_context,non_library_context,service_area,learning_and_literacy,43,18.9
intended_outcome,engagement_and_participation,service_conditions_addressed,access_infrastructure_required,43,18.9
game_format,digital_game,library_context,non_library_context,43,18.9
service_area,community_and_inclusion,service_audience,general_public,43,18.9
evidence_type,practitioner_reflection,service_conditions_addressed,inclusive_design_or_accessibility,43,18.9
conceptual_theme,games_as_cultural_media,evidence_confidence,practitioner_knowledge,42,18.5
service_area,collections_and_access,service_audience,general_public,42,18.5
conceptual_theme,games_as_cultural_media,primary_methodology,none,41,18.1
conceptual_theme,educational_psychology,game_format,digital_game,41,18.1
service_area,collections_and_access,source_type,peer_reviewed_journal_article,41,18.1
conceptual_theme,game_literacy,source_type,peer_reviewed_journal_article,41,18.1
evidence_confidence,practitioner_knowledge,service_area,learning_and_literacy,41,18.1
evidence_type,practitioner_reflection,primary_methodology,none,41,18.1
game_format,tabletop_game,service_area,community_and_inclusion,41,18.1
evidence_type,practitioner_reflection,service_conditions_addressed,access_infrastructure_required,40,17.6
evidence_confidence,demonstrated_outcome,service_audience,students,40,17.6
library_context,public_library,service_area,learning_and_literacy,40,17.6
conceptual_theme,games_as_cultural_media,service_area,programming_and_facilitation,40,17.6
conceptual_theme,games_as_cultural_media,conceptual_theme,participatory_culture_and_production,40,17.6
intended_outcome,engagement_and_participation,service_conditions_addressed,inclusive_design_or_accessibility,40,17.6
conceptual_theme,service_ecology,game_format,tabletop_game,40,17.6
service_area,programming_and_facilitation,service_conditions_addressed,access_infrastructure_required,39,17.2
conceptual_theme,games_as_cultural_media,library_context,public_library,39,17.2
conceptual_theme,information_behavior_and_practice,game_format,tabletop_game,39,17.2
library_context,non_library_context,service_conditions_addressed,skilled_facilitation_required,39,17.2
conceptual_theme,information_behavior_and_practice,evidence_type,empirical_study,39,17.2
intended_outcome,engagement_and_participation,service_area,learning_and_literacy,39,17.2
library_context,public_library,service_conditions_addressed,inclusive_design_or_accessibility,39,17.2
service_area,collections_and_access,service_area,learning_and_literacy,39,17.2
game_format,tabletop_roleplaying_game,service_conditions_addressed,skilled_facilitation_required,39,17.2
intended_outcome,learning_and_literacy,service_conditions_addressed,evaluation_or_reflection,39,17.2
conceptual_theme,educational_psychology,service_audience,students,39,17.2
game_format,tabletop_game,service_audience,general_public,39,17.2
service_area,discovery_and_advisory,service_conditions_addressed,skilled_facilitation_required,38,16.7
conceptual_theme,information_behavior_and_practice,service_area,collections_and_access,38,16.7
evidence_type,practitioner_reflection,service_audience,general_public,38,16.7
conceptual_theme,games_as_cultural_media,library_context,academic_library,38,16.7
library_context,public_library,service_audience,general_public,38,16.7
conceptual_theme,games_as_cultural_media,intended_outcome,learning_and_literacy,38,16.7
conceptual_theme,games_as_cultural_media,service_conditions_addressed,evaluation_or_reflection,38,16.7
conceptual_theme,information_behavior_and_practice,conceptual_theme,service_ecology,38,16.7
service_area,programming_and_facilitation,service_conditions_addressed,inclusive_design_or_accessibility,37,16.3
evidence_type,practitioner_reflection,game_format,tabletop_roleplaying_game,37,16.3
service_audience,students,service_conditions_addressed,evaluation_or_reflection,37,16.3
library_context,non_library_context,service_conditions_addressed,access_infrastructure_required,37,16.3
conceptual_theme,educational_psychology,service_conditions_addressed,access_infrastructure_required,37,16.3
service_area,collections_and_access,service_conditions_addressed,inclusive_design_or_accessibility,37,16.3
library_context,public_library,service_conditions_addressed,access_infrastructure_required,37,16.3
primary_methodology,none,service_audience,general_public,36,15.9
evidence_confidence,practitioner_knowledge,service_conditions_addressed,access_infrastructure_required,36,15.9
conceptual_theme,social_equity_and_access,service_area,learning_and_literacy,36,15.9
conceptual_theme,social_equity_and_access,service_conditions_addressed,skilled_facilitation_required,36,15.9
service_area,discovery_and_advisory,service_conditions_addressed,access_infrastructure_required,36,15.9
library_context,academic_library,service_conditions_addressed,inclusive_design_or_accessibility,36,15.9
evidence_type,empirical_study,service_conditions_addressed,inclusive_design_or_accessibility,36,15.9
service_area,outreach_and_partnerships,service_conditions_addressed,inclusive_design_or_accessibility,36,15.9
intended_outcome,learning_and_literacy,library_context,non_library_context,35,15.4
game_format,tabletop_roleplaying_game,service_area,learning_and_literacy,35,15.4
conceptual_theme,information_behavior_and_practice,library_context,academic_library,35,15.4
conceptual_theme,game_literacy,game_format,digital_game,35,15.4
game_format,tabletop_roleplaying_game,service_conditions_addressed,inclusive_design_or_accessibility,35,15.4
conceptual_theme,games_as_cultural_media,library_context,non_library_context,35,15.4
game_format,digital_game,service_area,collections_and_access,35,15.4
conceptual_theme,game_literacy,service_conditions_addressed,inclusive_design_or_accessibility,35,15.4
service_area,outreach_and_partnerships,service_conditions_addressed,skilled_facilitation_required,35,15.4
intended_outcome,learning_and_literacy,library_context,academic_library,34,15.0
evidence_confidence,practitioner_knowledge,service_conditions_addressed,inclusive_design_or_accessibility,34,15.0
service_conditions_addressed,skilled_facilitation_required,source_type,professional_publication,34,15.0
service_conditions_addressed,community_assessment_needed,service_conditions_addressed,skilled_facilitation_required,34,15.0
conceptual_theme,service_ecology,library_context,academic_library,34,15.0
library_context,public_library,service_area,community_and_inclusion,34,15.0
evidence_confidence,demonstrated_outcome,service_conditions_addressed,evaluation_or_reflection,34,15.0
conceptual_theme,service_ecology,game_format,digital_game,34,15.0
conceptual_theme,educational_psychology,service_conditions_addressed,evaluation_or_reflection,34,15.0
game_format,tabletop_game,service_area,collections_and_access,34,15.0
intended_outcome,engagement_and_participation,service_area,community_and_inclusion,34,15.0
conceptual_theme,games_as_cultural_media,evidence_confidence,demonstrated_outcome,34,15.0
evidence_confidence,demonstrated_outcome,library_context,non_library_context,34,15.0
conceptual_theme,game_literacy,service_audience,students,34,15.0
conceptual_theme,participatory_culture_and_production,service_conditions_addressed,skilled_facilitation_required,33,14.5
conceptual_theme,participatory_culture_and_production,service_conditions_addressed,inclusive_design_or_accessibility,33,14.5
primary_methodology,none,service_conditions_addressed,skilled_facilitation_required,33,14.5
service_area,learning_and_literacy,source_type,professional_publication,33,14.5
service_area,outreach_and_partnerships,service_conditions_addressed,access_infrastructure_required,33,14.5
service_area,learning_and_literacy,service_area,programming_and_facilitation,33,14.5
conceptual_theme,educational_psychology,conceptual_theme,information_behavior_and_practice,33,14.5
game_format,tabletop_roleplaying_game,service_audience,general_public,33,14.5
intended_outcome,engagement_and_participation,service_area,programming_and_facilitation,33,14.5
service_area,discovery_and_advisory,source_type,peer_reviewed_journal_article,33,14.5
conceptual_theme,information_behavior_and_practice,library_context,public_library,33,14.5
evidence_type,empirical_study,service_audience,students,33,14.5
conceptual_theme,service_ecology,service_area,community_and_inclusion,33,14.5
conceptual_theme,social_equity_and_access,service_conditions_addressed,inclusive_design_or_accessibility,32,14.1
conceptual_theme,game_literacy,conceptual_theme,games_as_cultural_media,32,14.1
conceptual_theme,educational_psychology,evidence_confidence,demonstrated_outcome,32,14.1
game_format,tabletop_game,intended_outcome,learning_and_literacy,32,14.1
evidence_type,practitioner_reflection,source_type,professional_publication,32,14.1
evidence_confidence,demonstrated_outcome,service_audience,general_public,32,14.1
conceptual_theme,games_as_cultural_media,source_type,professional_publication,32,14.1
game_format,tabletop_game,service_conditions_addressed,evaluation_or_reflection,32,14.1
conceptual_theme,information_behavior_and_practice,intended_outcome,engagement_and_participation,32,14.1
conceptual_theme,participatory_culture_and_production,service_area,learning_and_literacy,32,14.1
intended_outcome,engagement_and_participation,source_type,peer_reviewed_journal_article,32,14.1
game_format,tabletop_game,service_area,programming_and_facilitation,31,13.7
conceptual_theme,participatory_culture_and_production,service_audience,general_public,31,13.7
conceptual_theme,information_behavior_and_practice,library_context,non_library_context,31,13.7
conceptual_theme,games_as_cultural_media,service_audience,students,31,13.7
conceptual_theme,games_as_cultural_media,conceptual_theme,social_equity_and_access,31,13.7
game_format,digital_game,library_context,academic_library,31,13.7
game_format,digital_game,service_area,community_and_inclusion,31,13.7
library_context,public_library,source_type,peer_reviewed_journal_article,31,13.7
intended_outcome,engagement_and_participation,service_audience,general_public,31,13.7
conceptual_theme,information_behavior_and_practice,conceptual_theme,social_equity_and_access,31,13.7
conceptual_theme,service_ecology,service_audience,students,31,13.7
evidence_type,practitioner_reflection,service_area,programming_and_facilitation,31,13.7
conceptual_theme,social_equity_and_access,service_conditions_addressed,access_infrastructure_required,30,13.2
conceptual_theme,service_ecology,service_area,collections_and_access,30,13.2
game_format,tabletop_roleplaying_game,service_conditions_addressed,access_infrastructure_required,30,13.2
library_context,non_library_context,service_audience,general_public,30,13.2
conceptual_theme,game_literacy,conceptual_theme,information_behavior_and_practice,30,13.2
service_area,learning_and_literacy,service_area,outreach_and_partnerships,30,13.2
game_format,tabletop_game,service_audience,students,30,13.2
service_area,learning_and_literacy,service_conditions_addressed,community_assessment_needed,30,13.2
game_format,virtual_or_augmented_reality,service_area,learning_and_literacy,30,13.2
service_conditions_addressed,access_infrastructure_required,source_type,professional_publication,30,13.2
evidence_confidence,demonstrated_outcome,library_context,academic_library,29,12.8
primary_methodology,evidence_synthesis,service_area,learning_and_literacy,29,12.8
primary_methodology,none,service_conditions_addressed,inclusive_design_or_accessibility,29,12.8
service_conditions_addressed,community_assessment_needed,service_conditions_addressed,inclusive_design_or_accessibility,29,12.8
evidence_type,practitioner_reflection,game_format,tabletop_game,29,12.8
evidence_type,practitioner_reflection,service_area,community_and_inclusion,29,12.8
primary_methodology,qualitative_study,service_conditions_addressed,skilled_facilitation_required,29,12.8
game_format,tabletop_game,library_context,academic_library,29,12.8
service_area,community_and_inclusion,service_conditions_addressed,evaluation_or_reflection,29,12.8
evidence_type,empirical_study,service_conditions_addressed,evaluation_or_reflection,29,12.8
service_area,programming_and_facilitation,source_type,peer_reviewed_journal_article,29,12.8
conceptual_theme,games_as_cultural_media,evidence_confidence,descriptive_only,29,12.8
conceptual_theme,game_literacy,game_format,tabletop_game,29,12.8
intended_outcome,learning_and_literacy,service_area,community_and_inclusion,28,12.3
evidence_type,practitioner_reflection,intended_outcome,engagement_and_participation,28,12.3
conceptual_theme,social_equity_and_access,service_area,community_and_inclusion,28,12.3
evidence_confidence,demonstrated_outcome,game_format,tabletop_game,28,12.3
conceptual_theme,participatory_culture_and_production,service_conditions_addressed,access_infrastructure_required,28,12.3
primary_methodology,qualitative_study,source_type,peer_reviewed_journal_article,28,12.3
conceptual_theme,educational_psychology,library_context,non_library_context,28,12.3
service_area,discovery_and_advisory,service_area,learning_and_literacy,28,12.3
evidence_confidence,demonstrated_outcome,service_area,collections_and_access,28,12.3
game_format,tabletop_roleplaying_game,primary_methodology,none,28,12.3
service_audience,general_public,source_type,professional_publication,28,12.3
evidence_type,empirical_study,library_context,non_library_context,28,12.3
conceptual_theme,service_ecology,service_conditions_addressed,evaluation_or_reflection,28,12.3
conceptual_theme,service_ecology,evidence_confidence,demonstrated_outcome,28,12.3
service_audience,general_public,service_conditions_addressed,evaluation_or_reflection,28,12.3
primary_methodology,none,service_conditions_addressed,access_infrastructure_required,28,12.3
conceptual_theme,educational_psychology,evidence_type,empirical_study,28,12.3
game_format,virtual_or_augmented_reality,service_conditions_addressed,access_infrastructure_required,28,12.3
conceptual_theme,service_ecology,service_area,programming_and_facilitation,28,12.3
evidence_confidence,practitioner_knowledge,primary_methodology,none,28,12.3
primary_methodology,none,service_area,learning_and_literacy,27,11.9
primary_methodology,case_or_design_study,service_conditions_addressed,skilled_facilitation_required,27,11.9
evidence_confidence,practitioner_knowledge,source_type,professional_publication,27,11.9
library_context,academic_library,service_area,collections_and_access,27,11.9
service_conditions_addressed,access_infrastructure_required,service_conditions_addressed,community_assessment_needed,27,11.9
conceptual_theme,games_as_cultural_media,service_area,outreach_and_partnerships,27,11.9
primary_methodology,case_or_design_study,source_type,peer_reviewed_journal_article,27,11.9
primary_methodology,evidence_synthesis,service_conditions_addressed,skilled_facilitation_required,27,11.9
evidence_confidence,theoretical_or_conceptual,evidence_type,theoretical_or_conceptual,27,11.9
conceptual_theme,participatory_culture_and_production,service_area,community_and_inclusion,27,11.9
conceptual_theme,educational_psychology,service_conditions_addressed,inclusive_design_or_accessibility,27,11.9
conceptual_theme,service_ecology,service_audience,general_public,27,11.9
service_conditions_addressed,community_assessment_needed,source_type,peer_reviewed_journal_article,26,11.5
evidence_confidence,practitioner_knowledge,service_area,community_and_inclusion,26,11.5
evidence_type,empirical_study,service_audience,general_public,26,11.5
conceptual_theme,participatory_culture_and_production,game_format,tabletop_roleplaying_game,26,11.5
game_format,virtual_or_augmented_reality,service_conditions_addressed,skilled_facilitation_required,26,11.5
evidence_confidence,practitioner_knowledge,service_audience,general_public,26,11.5
service_area,community_and_inclusion,service_area,programming_and_facilitation,26,11.5
service_area,outreach_and_partnerships,source_type,peer_reviewed_journal_article,26,11.5
library_context,academic_library,service_conditions_addressed,evaluation_or_reflection,26,11.5
conceptual_theme,games_as_cultural_media,evidence_confidence,theoretical_or_conceptual,25,11.0
game_format,tabletop_game,intended_outcome,engagement_and_participation,25,11.0
game_format,tabletop_game,game_format,tabletop_roleplaying_game,25,11.0
evidence_confidence,practitioner_knowledge,game_format,tabletop_game,25,11.0
game_format,tabletop_game,source_type,professional_publication,25,11.0
